ds,yhat,yhat_lower,yhat_upper
2000-01-01,2.5849672033221687,-2.264231065577111,7.9291230250876845
2000-01-02,2.4239384159522803,-2.668304634392131,7.600652548993874
2000-01-03,2.303564664468313,-2.9864660339990263,7.422421516176728
2000-01-04,2.3251335727050098,-2.6791902469023463,7.132200018094251
2000-01-05,2.237917148837667,-2.663215945963683,7.3809736129062555
2000-01-06,2.0411145738684127,-2.7576538692439345,7.07321390775688
2000-01-07,1.6890201784999093,-3.3452020623593905,6.647058236868087
2000-01-08,1.3909123340437493,-3.7261636484886678,6.559659260467323
2000-01-09,1.165653559201015,-3.9300318356387423,6.549273257447355
2000-01-10,0.994666210357602,-4.085055332152335,6.477842323491577
2000-01-11,0.9807172808133053,-3.6071731486815106,6.046357834008024
2000-01-12,0.8742055615531203,-4.39088526233507,5.839982998757076
2000-01-13,0.6750791065874644,-4.596756038245382,6.257162592062601
2000-01-14,0.3379876282064789,-4.732515853702852,5.3285452620639395
2000-01-15,0.07216592752007678,-4.908938452171353,5.315189294280777
2000-01-16,-0.10396123124239409,-5.106849265558591,4.82944672929173
2000-01-17,-0.20978860424754053,-5.466784025730884,5.014775299000421
2000-01-18,-0.14372122416654065,-5.520026712246895,4.847056434826325
2000-01-19,-0.15685387502533032,-5.368103132419053,4.877283993456627
2000-01-20,-0.2510122804724144,-5.608982298224867,4.791813888931174
2000-01-21,-0.47355253054082347,-5.81609017610886,4.505182726360909
2000-01-22,-0.6174239725142421,-5.634266518858366,4.479398167891182
2000-01-23,-0.6665066318351638,-5.728035770200556,4.250277587667874
2000-01-24,-0.6425605413589555,-5.837693011134156,4.323699872710324
2000-01-25,-0.446355528907489,-5.582598477730622,4.75272811521135
2000-01-26,-0.33129055743778757,-5.189563002587693,4.859334711683982
2000-01-27,-0.3013772279376994,-5.380574705145727,4.810804375742811
2000-01-28,-0.4059855081443988,-5.3790270992982885,4.467388402566167
2000-01-29,-0.43985833085337767,-5.2641524279534515,4.530772798298302
2000-01-30,-0.38840738711143885,-5.571844295160647,4.514552809713349
2000-01-31,-0.2746285587640198,-5.4022611560420355,4.760950595767978
2000-02-01,-0.0002063844285729033,-5.0632057104962875,5.3682972424276665
2000-02-02,0.18088274722127906,-4.3004743017851705,5.337616232846512
2000-02-03,0.2643937272875494,-4.99368697877746,5.425310923823363
2000-02-04,0.20106404528221056,-5.246847068871145,5.354065354347604
2000-02-05,0.1965868503862822,-4.860056525155582,5.325837804472787
2000-02-06,0.26629388935555554,-4.509623708758874,5.650608332400853
