ds,yhat,yhat_lower,yhat_upper
2000-01-01,6.6873780307768325,1.230630570768977,12.756473391469314
2000-01-02,6.527869061700676,0.5178944542197633,12.146218620495375
2000-01-03,6.445360996719284,0.626192458823731,12.510344232609029
2000-01-04,6.447870718309419,0.2770407036998793,12.197664074632092
2000-01-05,6.325051771075145,0.3790501243424746,12.29908637639209
2000-01-06,6.111345668406786,0.4955255447132789,11.823864047820758
2000-01-07,5.7526325857355864,-0.589275053600213,11.726728103465671
2000-01-08,5.465071790711747,-0.5660117399317832,11.35194909855421
2000-01-09,5.240281530606282,-0.41457311687942267,11.148007252380904
2000-01-10,5.10780017582659,-0.842290605150658,10.831659754763105
2000-01-11,5.077206998495516,-0.9018502291898121,11.263350684873599
2000-01-12,4.939312655301677,-0.29936942831869995,11.234051387826732
2000-01-13,4.729284268283433,-1.0579480128744772,10.221092775765786
2000-01-14,4.393281170404892,-1.3255114912087786,10.74994495948596
2000-01-15,4.1472920327314,-1.5221236752495941,10.185509438661738
2000-01-16,3.982323142548106,-1.794089089720199,9.643420816834897
2000-01-17,3.92687936158773,-1.9770099979891835,9.789934578162574
2000-01-18,3.9891155624211976,-1.6519174928422506,10.090762371226264
2000-01-19,3.958067736466667,-2.0667494254363405,10.321732987370458
2000-01-20,3.866827521290107,-1.801722447812461,9.819177336448208
2000-01-21,3.6592348299813953,-2.063455473812091,9.774313552308827
2000-01-22,3.548777716138316,-2.4786360863011345,10.06616044798531
2000-01-23,3.523847505750714,-2.6788869987570147,9.455774615994915
2000-01-24,3.6102888811110354,-2.1315790335386833,9.330053160489523
2000-01-25,3.813620816463459,-2.2860568647287134,9.429874310659955
2000-01-26,3.9203356594096412,-2.2214196978453193,9.994805056709257
2000-01-27,3.961138258356911,-2.0266662464739147,9.866258190309798
2000-01-28,3.8776980750565038,-2.3857017369311357,9.915728199953382
2000-01-29,3.8816018242954566,-1.9701578433082583,9.704851114138474
2000-01-30,3.959653277023218,-2.0080293008643335,9.75586068630584
2000-01-31,4.136458752059285,-1.7881586124423194,10.104958686144718
2000-02-01,4.4166733029676415,-1.9594248868432194,10.220094842703668
2000-02-02,4.586314292017093,-1.0069747822870172,10.248795767791561
2000-02-03,4.676003956315242,-1.0836670866738862,10.9074053889213
2000-02-04,4.6277139239439276,-1.1226776426355431,10.415152321281994
2000-02-05,4.653699553067158,-0.9981235005897611,10.47101257200357
2000-02-06,4.741771362561762,-1.3874234328623063,10.88262638272742
2000-02-07,4.9178429936191765,-0.955695719182699,10.640919085657885
2000-02-08,5.188131877899092,-0.7339592381283355,11.407552037515952
2000-02-09,5.340420693292819,-0.6928109253340804,11.289187168256596
2000-02-10,5.407242780904108,-0.4950427518325992,11.924230749038296
2000-02-11,5.3325661831957465,-0.6023209468276396,10.972095542935858
2000-02-12,5.330665962477726,-0.8631181221234056,11.29000260629906
