ds,yhat,yhat_lower,yhat_upper
2000-01-01,-1.450111413276895,-6.659142717924129,3.460131931628176
2000-01-02,-1.6228665697286573,-6.9688818097389715,3.1495231630833094
2000-01-03,-1.7653142175620768,-7.400923327211744,3.6989424073195085
2000-01-04,-1.732398782168822,-7.109248768256227,3.4928985419010066
2000-01-05,-1.7855978396517251,-7.055406905723455,3.2489031731766755
2000-01-06,-1.9623609633161987,-7.058837162854697,3.0127371299338916
2000-01-07,-2.3057439398974644,-7.7384115328712,2.8553821290829746
2000-01-08,-2.6175307132800096,-7.839542468792652,2.782290241438691
2000-01-09,-2.854745245378435,-7.755639648888847,2.704298357214002
2000-01-10,-3.0497419124131184,-8.273300462310363,2.2507427083291103
2000-01-11,-3.056037725806746,-8.487293765683502,2.18481865438024
2000-01-12,-3.133982882536632,-8.228155431388307,2.068073188902351
2000-01-13,-3.3202248078518597,-8.380917008676729,1.756254690903291
2000-01-14,-3.6573593520708307,-8.980732895635002,1.3347356992262123
2000-01-15,-3.947061086485048,-9.51501372566817,1.1383029082262297
2000-01-16,-4.146594704430177,-9.201011932924919,0.95121915044366
2000-01-17,-4.288896195992782,-9.548521830601727,0.7436222606859034
2000-01-18,-4.228387368004725,-9.253323768496834,0.7298176581664313
2000-01-19,-4.226620720735916,-9.429949373098305,1.0941591004215154
2000-01-20,-4.321710560746304,-9.564031385126764,0.4859040341763555
2000-01-21,-4.557944918229188,-9.944759174587238,0.9361957670687339
2000-01-22,-4.738871285440837,-9.85100099565646,0.8216527227116391
2000-01-23,-4.823759389212201,-10.223696561513345,0.24587112081604462
2000-01-24,-4.84763097504085,-10.145643991071378,0.2193817237254652
2000-01-25,-4.6670215495649945,-10.323295386382991,0.43075245802843193
2000-01-26,-4.545572496376464,-9.877408877868804,0.4984355741826322
2000-01-27,-4.523410838174617,-9.620738387383556,0.8123340965716013
2000-01-28,-4.646712559152035,-9.588835320138399,0.6979246182395062
2000-01-29,-4.720743765221702,-9.979567755870983,0.4553939160774651
2000-01-30,-4.706284037487135,-9.843154351523031,0.2705450216462948
2000-01-31,-4.639622949598726,-9.862262121188449,0.6050271342891
2000-02-01,-4.3782955132735175,-9.72483631504875,0.8704786444574664
2000-02-02,-4.186655587351423,-9.057669343328213,0.7934315243214102
2000-02-03,-4.105244930895676,-9.312621319238733,1.1206603570258378
2000-02-04,-4.1803539990096805,-9.268504212976257,0.9191819892536836
2000-02-05,-4.2170687174274795,-9.611359337668656,0.5303639849997407
2000-02-06,-4.175707326174118,-9.845511882557245,0.9609213283713356
2000-02-07,-4.09183778322963,-9.499489989637848,0.9117694973560859
2000-02-08,-3.8220408131249908,-8.835796650910654,1.3587870833234872
2000-02-09,-3.6295167772779955,-8.938502321720891,1.542327369427365
2000-02-10,-3.553493034168371,-8.995234002145725,1.9665983778171099
2000-02-11,-3.6388267512848866,-8.888947878821396,1.537201086708099
2000-02-12,-3.689096176716718,-9.042344090813781,1.510854284299439
2000-02-13,-3.6630831762514697,-9.0769076407643,1.3045275052809369
2000-02-14,-3.594836222867589,-9.028749732265732,1.112853797500368
2000-02-15,-3.3394776368027532,-8.510396834869017,1.8962141137069228
2000-02-16,-3.1588520197818077,-8.444468451133046,2.0098717563451194
2000-02-17,-3.0909714062569265,-8.162933267000248,2.3029768362294196
2000-02-18,-3.17965106808054,-9.13357188994589,1.8389880693230816
2000-02-19,-3.2276281028325418,-8.648684679739405,2.2845272738811135
2000-02-20,-3.193064905633487,-8.684827522303594,1.7156690192354163
2000-02-21,-3.109626195620355,-8.255896550330032,2.13754056554741
2000-02-22,-2.832293083015535,-8.26157255843965,2.0386505064681506
2000-02-23,-2.6230110188403932,-7.77022423940361,2.3183985928916844
2000-02-24,-2.520127260465718,-7.369884567164221,2.631686860227995
2000-02-25,-2.568012106735397,-8.38038393012284,2.5275606093202225
2000-02-26,-2.570156546334216,-7.705050992900955,2.8124367245684794
2000-02-27,-2.4856491124550066,-7.927787684849639,2.4870503216870476
2000-02-28,-2.349221466453991,-7.298557718925772,3.149632381900635
2000-02-29,-2.017027180385866,-7.250670513045697,3.0966389768302376
2000-03-01,-1.7522516473061822,-6.696374254197422,3.6786492151657186
2000-03-02,-1.5945099099743905,-6.538415211013238,3.6140571788899374
2000-03-03,-1.5894278555417936,-6.974455979344313,3.5696197924834996
2000-03-04,-1.5417006151754302,-6.490575544927692,3.7786296624537274
2000-03-05,-1.411532123567385,-6.503470707711919,3.9077523073339826
2000-03-06,-1.2346464558497665,-6.34646612786653,4.045429256531226
2000-03-07,-0.8680364081097833,-6.105511209013811,4.107032950769619
2000-03-08,-0.575548119697527,-5.727928814185732,4.344258359165732
2000-03-09,-0.3972592456735038,-5.48696867000075,4.968219208793954
2000-03-10,-0.3790466730848676,-5.069631403992505,5.304552120006255
2000-03-11,-0.3256379795651325,-5.6482913478094,4.944104581096444
2000-03-12,-0.19705075280903372,-5.076260883586006,4.913720194157375
2000-03-13,-0.0286103524563055,-5.115944436934852,5.094387332844312
2000-03-14,0.32328865276628704,-4.908036076626543,5.295924511061216
2000-03-15,0.5955789972003975,-4.485446971977327,5.6601077518392975
2000-03-16,0.7491182700257406,-4.1169233534390655,5.853929243154467
2000-03-17,0.739092268989169,-4.5342615507414,5.609273470420462
2000-03-18,0.7619308479342086,-4.756915012241128,6.379053001523489
2000-03-19,0.8588331373152691,-4.227838756217461,6.12712095627826
2000-03-20,0.9957126313740892,-4.150626417942151,6.328356274290228
2000-03-21,1.3173980297850072,-3.8301628778572434,6.491472885125044
