Pollutant,RMSE,MAE,MAPE
PM2.5,4.4218,2.0655,33.77
PM10,3.8773,2.2565,23.96
CO,0.0471,0.034,14.68
SO2,0.6191,0.367,108.02
NO2,3.9213,3.0117,31.92
O3,0.0045,0.0036,13.54
