pollutant,RMSE,MAE,MAPE
PM2.5,3.9602,1.4947,20.88
PM10,4.0586,2.4489,25.08
CO,0.0289,0.02,8.6
SO2,0.5625,0.3623,104.02
NO2,2.5518,1.9295,20.87
O3,0.0044,0.0035,12.93
