Pollutant,RMSE,MAE,MAPE
PM2.5,3.5,2.49,22.13
PM10,1.15,0.98,14.82
CO,0.03,0.02,9.23
NO2,0.36,0.31,78.15
SO2,4.21,3.54,37.19
O3,0.01,0.01,33.65
