Variable,Model,RMSE,MAE,R²
Max_Temperature,XGBoost,1.8306185048893748,1.3733078511555987,-0.4378838743106599
Min_Temperature,XGBoost,3.0391900253179154,2.4258078928788502,0.2019683025362925
Average_Temperature,XGBoost,1.7694796681074172,1.4310253461201985,0.3636811224825026
